Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
359,METAL,79.62531,80.95177,80,75.68349,NaN
360,ENERGY,100.96045,99.727615,80,76.18561,NaN
360,FOOD,48.909813,48.288548,80,76.386154,NaN
360,METAL,79.59673,80.92271,80,75.68349,NaN
361,ENERGY,102,100.75447,80,76.18561,NaN
361,FOOD,50.020695,49.38532,80,76.386154,NaN
361,METAL,78.4,79.70604,80,75.68349,NaN
362,ENERGY,103.03955,101.78133,80,76.18561,NaN
362,FOOD,49.43811,48.810135,80,76.386154,NaN
362,METAL,80.5759,81.91818,80,75.68349,NaN
363,ENERGY,101.377014,100.13909,80,76.18561,NaN
363,FOOD,49.84018,49.207096,80,76.386154,NaN
363,METAL,79.56273,80.88814,80,75.68349,NaN
364,ENERGY,101.08924,99.854836,80,76.18561,NaN
364,FOOD,51.390804,50.73802,80,76.386154,NaN
364,METAL,82.505905,83.88034,80,75.68349,NaN
365,ENERGY,103.30266,102.04122,80,76.18561,NaN
365,FOOD,51.437576,50.784203,80,76.386154,NaN
365,METAL,82.6286,84.00508,80,75.68349,NaN
366,ENERGY,103.83994,102.571945,80,76.18561,NaN
366,FOOD,51.029907,50.38171,80,76.386154,NaN
366,METAL,80,81.332695,80,75.68349,NaN
367,ENERGY,106.75528,105.45168,80,76.18561,NaN
367,FOOD,52.05451,51.393295,80,76.386154,NaN
367,METAL,81.955574,83.32085,80,75.68349,NaN
368,ENERGY,104.32118,103.04731,80,76.18561,NaN
368,FOOD,51.905613,51.246292,80,76.386154,NaN
368,METAL,82.66011,84.03712,80,75.68349,NaN
369,ENERGY,102.97262,101.71521,80,76.18561,NaN
369,FOOD,51.112835,50.463585,80,76.386154,NaN
369,METAL,80.77806,82.12372,80,75.68349,NaN
370,ENERGY,105.61333,104.32368,80,76.18561,NaN
370,FOOD,50.426586,49.786053,80,76.386154,NaN
370,METAL,83.125275,84.51003,80,75.68349,NaN
371,ENERGY,105.16599,103.881805,80,76.18561,NaN
371,FOOD,50.594,49.951344,80,76.386154,NaN
371,METAL,81.17128,82.52348,80,75.68349,NaN
372,ENERGY,101.71573,100.47367,80,76.18561,NaN
372,FOOD,52.036232,51.37525,80,76.386154,NaN
372,METAL,81.32335,82.678085,80,75.68349,NaN
373,ENERGY,103.8474,102.57931,80,76.18561,NaN
373,FOOD,50.572968,49.930576,80,76.386154,NaN
373,METAL,82.06486,83.431946,80,75.68349,NaN
374,ENERGY,104.03368,102.76332,80,76.18561,NaN
374,FOOD,50.704895,50.060825,80,76.386154,NaN
374,METAL,81.530075,82.88826,80,75.68349,NaN
375,ENERGY,101.14941,99.91426,80,76.18561,NaN
375,FOOD,51.6307,50.974873,80,76.386154,NaN
375,METAL,84.00117,85.40051,80,75.68349,NaN
376,ENERGY,102,100.75447,80,76.18561,NaN
376,FOOD,50.769066,50.124184,80,76.386154,NaN
376,METAL,83.23743,84.624054,80,75.68349,NaN
377,ENERGY,97.227165,96.03992,80,76.18561,NaN
377,FOOD,50.605003,49.962204,80,76.386154,NaN
377,METAL,83.329575,84.717735,80,75.68349,NaN
378,ENERGY,99.96289,98.74223,80,76.18561,NaN
378,FOOD,51.219505,50.5689,80,76.386154,NaN
378,METAL,82.73742,84.115715,80,75.68349,NaN
379,ENERGY,95.06107,93.900276,80,76.18561,NaN
379,FOOD,49.900715,49.26686,80,76.386154,NaN
379,METAL,84.64339,86.05344,80,75.68349,NaN
380,ENERGY,96.84254,95.65998,80,76.18561,NaN
380,FOOD,51.704205,51.047443,80,76.386154,NaN
380,METAL,83.21339,84.59961,80,75.68349,NaN
381,ENERGY,93.669876,92.52606,80,76.18561,NaN
381,FOOD,49.997047,49.36197,80,76.386154,NaN
381,METAL,83.44801,84.83814,80,75.68349,NaN
382,ENERGY,95.38462,94.21987,80,76.18561,NaN
382,FOOD,50.918503,50.27172,80,76.386154,NaN
382,METAL,83.65014,85.04364,80,75.68349,NaN
383,ENERGY,97.02739,95.84258,80,76.18561,NaN
383,FOOD,50.72577,50.081436,80,76.386154,NaN
383,METAL,82.18192,83.550964,80,75.68349,NaN
384,ENERGY,95.62125,94.453606,80,76.18561,NaN
384,FOOD,48.895367,48.274284,80,76.386154,NaN
384,METAL,83.74122,85.13624,80,75.68349,NaN
385,ENERGY,94.040215,92.891884,80,76.18561,NaN
385,FOOD,50.19067,49.553135,80,76.386154,NaN
385,METAL,81.66622,83.02667,80,75.68349,NaN
386,ENERGY,94.02596,92.87781,80,76.18561,NaN
386,FOOD,50.076103,49.44002,80,76.386154,NaN
386,METAL,82.83983,84.219826,80,75.68349,NaN
387,ENERGY,98.28427,97.084114,80,76.18561,NaN
387,FOOD,49.202217,48.577236,80,76.386154,NaN
387,METAL,79.943985,81.27574,80,75.68349,NaN
388,ENERGY,97.249954,96.06242,80,76.18561,NaN
388,FOOD,49.72576,49.09413,80,76.386154,NaN
388,METAL,82.2312,83.60107,80,75.68349,NaN
389,ENERGY,97.8036,96.60931,80,76.18561,NaN
389,FOOD,48.697067,48.078503,80,76.386154,NaN
389,METAL,82.24484,83.61493,80,75.68349,NaN
390,ENERGY,100.41573,99.189545,80,76.18561,NaN
390,FOOD,48.58508,47.967937,80,76.386154,NaN
390,METAL,80.12703,81.46184,80,75.68349,NaN
391,ENERGY,98,96.803314,80,76.18561,NaN
391,FOOD,49.700962,49.069645,80,76.386154,NaN
391,METAL,78.4,79.70604,80,75.68349,NaN
392,ENERGY,100.01179,98.790535,80,76.18561,NaN
392,FOOD,47.827087,47.219574,80,76.386154,NaN
392,METAL,79.21526,80.53488,80,75.68349,NaN
393,ENERGY,102.3934,101.14307,80,76.18561,NaN
393,FOOD,48.228077,47.61547,80,76.386154,NaN
393,METAL,77.73469,79.02964,80,75.68349,NaN
394,ENERGY,100.93893,99.70635,80,76.18561,NaN
394,FOOD,48.13262,47.52123,80,76.386154,NaN
394,METAL,77.41115,78.700714,80,75.68349,NaN
395,ENERGY,103.372894,102.110596,80,76.18561,NaN
395,FOOD,49.016033,48.393417,80,76.386154,NaN
395,METAL,77.09845,78.382805,80,75.68349,NaN
396,ENERGY,106.330124,105.031715,80,76.18561,NaN
396,FOOD,48.54702,47.930363,80,76.386154,NaN
396,METAL,78.55215,79.86072,80,75.68349,NaN
397,ENERGY,106.75528,105.45168,80,76.18561,NaN
397,FOOD,47.903366,47.294884,80,76.386154,NaN
397,METAL,77.339966,78.62835,80,75.68349,NaN
398,ENERGY,102.97262,101.71521,80,76.18561,NaN
398,FOOD,48.552002,47.93528,80,76.386154,NaN
398,METAL,77.03057,78.3138,80,75.68349,NaN
399,ENERGY,106.97261,105.66636,80,76.18561,NaN
399,FOOD,48.93166,48.310116,80,76.386154,NaN
399,METAL,79.22194,80.54167,80,75.68349,NaN
400,ENERGY,106.25098,104.95354,80,76.18561,NaN
400,FOOD,48.792675,48.172897,80,76.386154,NaN
400,METAL,78.310074,79.61462,80,75.68349,NaN
401,ENERGY,102.76485,101.50998,80,76.18561,NaN
401,FOOD,50.035816,49.400246,80,76.386154,NaN
401,METAL,77.444954,78.735085,80,75.68349,NaN
402,ENERGY,105.71573,104.42483,80,76.18561,NaN
402,FOOD,49.523827,48.89476,80,76.386154,NaN
402,METAL,75.96717,77.23268,80,75.68349,NaN
403,ENERGY,104.02065,102.75045,80,76.18561,NaN
403,FOOD,49.142525,48.518303,80,76.386154,NaN
403,METAL,77.63376,78.92703,80,75.68349,NaN
404,ENERGY,104.03368,102.76332,80,76.18561,NaN
404,FOOD,48.586544,47.969383,80,76.386154,NaN
404,METAL,78.46018,79.76723,80,75.68349,NaN
405,ENERGY,103.03955,101.78133,80,76.18561,NaN
405,FOOD,50.79124,50.146076,80,76.386154,NaN
