Tick,Commodity,GlobalPrice,NationalPrice,Production,Demand,Inventory
31,METAL,80.80621,81.926315,80,75.68396,NaN
32,ENERGY,100.027,101.41353,80,75.68396,NaN
32,FOOD,47.869167,48.532707,80,75.68396,NaN
32,METAL,81.13759,82.26228,80,75.68396,NaN
33,ENERGY,100.03369,101.42031,80,75.68396,NaN
33,FOOD,48.53627,49.209057,80,75.68396,NaN
33,METAL,80.76264,81.88213,80,75.68396,NaN
34,ENERGY,104.82119,106.27417,80,75.68396,NaN
34,FOOD,47.50822,48.16676,80,75.68396,NaN
34,METAL,78.83567,79.92845,80,75.68396,NaN
35,ENERGY,101.90837,103.32098,80,75.68396,NaN
35,FOOD,47.698956,48.360138,80,75.68396,NaN
35,METAL,79.1971,80.29489,80,75.68396,NaN
36,ENERGY,104.505714,105.95432,80,75.68396,NaN
36,FOOD,47.52279,48.181526,80,75.68396,NaN
36,METAL,79.770485,80.87623,80,75.68396,NaN
37,ENERGY,102.75529,104.179634,80,75.68396,NaN
37,FOOD,49.573414,50.26058,80,75.68396,NaN
37,METAL,76.966515,78.03339,80,75.68396,NaN
38,ENERGY,104.72703,106.1787,80,75.68396,NaN
38,FOOD,48.590694,49.264236,80,75.68396,NaN
38,METAL,77.30267,78.37421,80,75.68396,NaN
39,ENERGY,104.61024,106.060295,80,75.68396,NaN
39,FOOD,49.2455,49.928116,80,75.68396,NaN
39,METAL,76.02194,77.07572,80,75.68396,NaN
40,ENERGY,106.75528,108.23507,80,75.68396,NaN
40,FOOD,48.81721,49.493893,80,75.68396,NaN
40,METAL,78.17251,79.256096,80,75.68396,NaN
41,ENERGY,106.330124,107.80402,80,75.68396,NaN
41,FOOD,49.492928,50.178974,80,75.68396,NaN
41,METAL,78.82872,79.92141,80,75.68396,NaN
42,ENERGY,102.35513,103.77393,80,75.68396,NaN
42,FOOD,50.205124,50.901043,80,75.68396,NaN
42,METAL,78.67665,79.76723,80,75.68396,NaN
43,ENERGY,104.899765,106.353836,80,75.68396,NaN
43,FOOD,49.76395,50.453754,80,75.68396,NaN
43,METAL,76.734,77.79765,80,75.68396,NaN
44,ENERGY,104.03368,105.47575,80,75.68396,NaN
44,FOOD,49.658695,50.347042,80,75.68396,NaN
44,METAL,76.32849,77.38652,80,75.68396,NaN
45,ENERGY,102.89135,104.31758,80,75.68396,NaN
